CraftDescrID,CraftID,ProgramID
1,0,0
2,1,1
3,2,1
4,3,1
5,4,1
6,5,1
7,6,1
8,7,2
9,8,2
10,9,2
11,10,2
12,11,2
13,12,2
14,13,2
15,14,2
16,15,2
17,16,2
18,17,3
19,18,3
20,19,3
21,20,3
22,21,3
23,22,3
24,23,3
25,24,3
26,25,3
27,26,3
28,27,3
29,28,4
30,29,4
31,30,4
32,31,4
33,32,5
34,33,6
35,34,6
36,35,6
37,36,6
38,37,6
39,38,7
40,39,8
41,40,8
42,41,8
43,42,8
44,43,8
45,44,8
46,45,8
47,46,8
48,47,8
49,48,8
50,49,8
51,50,8
52,51,8
53,52,8
54,53,8
55,54,8
56,55,8
57,56,8
58,57,8
59,58,8
60,59,8
61,60,8
62,61,8
63,62,8
64,63,8
65,64,8
66,65,8
67,66,8
68,67,8
69,68,10
70,69,11
71,70,12; 14
72,71,13
73,72,13
