MissionID,CraftID,MissionName,CallSign,ProgramID,MissionStart,MissionEnd,MissionType,Inclination,Altitude,SpaceLimitLine,Notes
1,1,MR-3,Freedom 7,1,5-May-61,5-May-61,Suborbital,-9,188,Karman Line,Mercury-Redstone
2,2,MR-4,Liberty Bell 7,1,21-Jul-61,21-Jul-61,Suborbital,-9,190,Karman Line,Mercury-Redstone
3,3,MA-6,Friendship 7,1,20-Feb-62,20-Feb-62,LEO,32.5,365,Karman Line,First US orbital flight. Mercury-Atlas
4,4,MA-7,Aurora 7,1,24-May-62,24-May-62,LEO,32.5,260,Karman Line,Mercury-Atlas
5,5,MA-8,Sigma 7,1,3-Oct-62,3-Oct-62,LEO,32.5,285,Karman Line,Mercury-Atlas
6,6,MA-9,Faith 7,1,15-May-63,16-May-63,LEO,32.5,267,Karman Line,Mercury-Atlas
7,7,Gemini 3,Molly Brown,2,23-Mar-65,23-Mar-65,LEO,32.5,224,Karman Line,
8,8,Gemini 4,,2,3-Jun-65,7-Jun-65,LEO,32.5,283,Karman Line,
9,9,Gemini 5,,2,21-Aug-65,29-Aug-65,LEO,32.6,350,Karman Line,
10,10,Gemini 6A,,2,4-Dec-65,18-Dec-65,LEO,28.9,162,Karman Line,
11,11,Gemini 7,,2,15-Dec-65,16-Dec-65,LEO,28.9,161,Karman Line,
12,12,Gemini 8,,2,16-Mar-66,16-Mar-66,LEO,28.9,272,Karman Line,
13,13,Gemini 9A,,2,3-Jun-66,6-Jun-66,LEO,28.9,311,Karman Line,
14,14,Gemini 10,,2,18-Jul-66,21-Jul-66,LEO,28.9,269,Karman Line,
15,15,Gemini 11,,2,12-Sep-66,15-Sep-66,LEO,28.8,1369,Karman Line,
16,16,Gemini 12,,2,11-Nov-66,15-Nov-66,LEO,28.9,270,Karman Line,
17,17,Apollo 7,,3,11-Oct-68,22-Oct-68,LEO,31.6,300,Karman Line,
18,18,Apollo 8,,3,21-Dec-68,27-Dec-68,Lunar,32.5,196,Karman Line,Earth parking orbit before translunar injection.
