PersonID,PersonLName,PersonFName,PersonMI,Title,Race,Ethnicity,Sex,Military,Branch,Rank,Pilot,PrimaryNationality_Birth Citizen,SecondNationality,ThirdNationality,HighestEd,Educat,MedicalDoctor,DOB,Died,DOD,COD,COD_Group,COD_Group2
1,Acaba,Joseph ,M,,0,1,1,1,5,0,0,United States of America,Puerto Rico,,MS,2,0,5/17/1967,0,88/88/8888,None,0,0
2,Adamson,James ,C,,0,0,1,1,2,6,1,United States of America,,,MS,2,0,3/3/1946,0,88/88/8888,None,0,0
3,Akers,Thomas ,D,,0,0,1,1,1,6,1,United States of America,,,MS,2,0,5/20/1951,0,88/88/8888,None,0,0
4,Aldrin,Buzz ,,,0,0,1,1,1,6,1,United States of America,,,PhD,3,0,1/20/1930,0,88/88/8888,None,0,0
5,Allen,Andrew ,M,,0,0,1,1,5,5,1,United States of America,,,MBA,2,0,8/4/1955,0,88/88/8888,None,0,0
6,Allen,Joseph ,P,,0,0,1,0,-8,-8,1,United States of America,,,PhD,3,0,6/27/1937,0,88/88/8888,None,0,0
7,Wood,James,W,,1,0,1,1,1,6,1,United States of America,,,BS,1,0,8/9/1924,1,1/1/1990,Exact Unknown,4,-8
8,Morukov,Boris,,,0,0,1,0,-8,-8,0,Russia,,,MD/PhD,3,1,10/1/1950,1,1/1/2015,Unknown,-9,-9
9,Volk,Igor,,,0,0,1,1,1,6,1,Ukraine,,,BS,1,0,4/12/1937,1,1/3/2017,Sudden death on holiday.,-9,-9
10,Altman,Scott ,D,,0,0,1,1,4,6,1,United States of America,,,MS,2,0,8/15/1959,0,88/88/8888,None,0,0
11,Anders,William ,A,,0,0,1,1,1,8,1,United States of America,,,MS,2,0,10/17/1933,1,6/7/2024,Unknown,-9,-9
12,Belyayev,Pavel,,,0,0,1,1,1,4,1,Russia,,,BS,1,0,6/26/1925,1,1/10/1970,Peritonitis after stomach surgery,4,-8
13,Sorokin,Aleksei,,,0,0,1,1,1,4,0,Russia,,,MD,3,1,3/30/1931,1,1/11/1976,Heart disease,2,-8
14,Kuklin,Anatoli,,,0,0,1,1,1,6,1,Russia,,,BS,1,0,1/3/1932,1,1/16/2002,Stroke,2,-8
15,Anderson,Clayton ,C,,0,0,1,0,-8,-8,0,United States of America,,,MS,2,0,2/23/1959,0,88/88/8888,None,0,0
16,Andryushkov,Aleksandr,,,0,0,1,1,1,6,1,Russia,,,BS,1,0,10/6/1947,1,1/24/2007,Heart attack,2,-8
17,Anderson,Michael ,P,,1,0,1,1,1,5,1,United States of America,,,MS,2,0,12/25/1959,1,2/1/2003,Columbia,3,2
